Date,Visitor,PTS_Visitor,Home,PTS_Home,Box_Score,OT,Winner
2024-01-28,Toronto Raptors,125,Atlanta Hawks,126,/boxscores/202401280ATL.html,,Atlanta Hawks
2024-01-28,Phoenix Suns,98,Orlando Magic,113,/boxscores/202401280ORL.html,,Orlando Magic
2024-01-28,Chicago Bulls,104,Portland Trail Blazers,96,/boxscores/202401280POR.html,,Chicago Bulls
2024-01-29,New York Knicks,113,Charlotte Hornets,92,/boxscores/202401290CHO.html,,New York Knicks
2024-01-29,Los Angeles Clippers,108,Cleveland Cavaliers,118,/boxscores/202401290CLE.html,,Cleveland Cavaliers
2024-01-29,New Orleans Pelicans,112,Boston Celtics,118,/boxscores/202401290BOS.html,,Boston Celtics
2024-01-29,Utah Jazz,114,Brooklyn Nets,147,/boxscores/202401290BRK.html,,Brooklyn Nets
2024-01-29,Phoenix Suns,118,Miami Heat,105,/boxscores/202401290MIA.html,,Phoenix Suns
2024-01-29,Los Angeles Lakers,119,Houston Rockets,135,/boxscores/202401290HOU.html,,Houston Rockets
2024-01-29,Sacramento Kings,103,Memphis Grizzlies,94,/boxscores/202401290MEM.html,,Sacramento Kings
2024-01-29,Minnesota Timberwolves,107,Oklahoma City Thunder,101,/boxscores/202401290OKC.html,,Minnesota Timberwolves
2024-01-29,Washington Wizards,118,San Antonio Spurs,113,/boxscores/202401290SAS.html,,Washington Wizards
2024-01-29,Orlando Magic,129,Dallas Mavericks,131,/boxscores/202401290DAL.html,,Dallas Mavericks
2024-01-29,Milwaukee Bucks,107,Denver Nuggets,113,/boxscores/202401290DEN.html,,Denver Nuggets
2024-01-29,Philadelphia 76ers,104,Portland Trail Blazers,130,/boxscores/202401290POR.html,,Portland Trail Blazers
2024-01-30,Los Angeles Lakers,122,Atlanta Hawks,138,/boxscores/202401300ATL.html,,Atlanta Hawks
